GraphName,MaxRefCount,CompressionWindow,AvgRefChain,BitsNode,BitsLink
uk-2002,-1,1,50.084,35.444,2.202
uk-2002,1,1,0.351,49.83,3.096
uk-2002,3,1,0.993,42.164,2.619
uk-2002,-1,3,230.177,31.376,1.949
uk-2002,1,3,0.538,42.968,2.669
uk-2002,3,3,1.376,37.602,2.336
uk-2002,-1,7,260.08,29.866,1.855
uk-2002,1,7,0.632,41.169,2.558
uk-2002,3,7,1.657,36.589,2.273
uk-2002_transpose,-1,1,10.644,28,1.74
uk-2002_transpose,1,1,0.299,34.237,2.127
uk-2002_transpose,3,1,0.754,30.593,1.901
uk-2002_transpose,-1,3,13.586,26.125,1.623
uk-2002_transpose,1,3,0.464,30.69,1.907
uk-2002_transpose,3,3,1.085,28.26,1.756
uk-2002_transpose,-1,7,15.357,25.368,1.576
uk-2002_transpose,1,7,0.54,29.577,1.837
uk-2002_transpose,3,7,1.285,27.411,1.703
webbase-2001,-1,1,34.589,27.65,3.203
webbase-2001,1,1,0.282,35.524,4.115
webbase-2001,3,1,0.78,31.295,3.625
webbase-2001,-1,3,69.598,25.395,2.942
webbase-2001,1,3,0.433,31.786,3.682
webbase-2001,3,3,1.084,28.791,3.335
webbase-2001,-1,7,85.743,24.505,2.839
webbase-2001,1,7,0.504,30.894,3.579
webbase-2001,3,7,1.294,28.263,3.274
webbase-2001_transpose,-1,1,19.43,24.328,2.818
webbase-2001_transpose,1,1,0.3,27.829,3.224
webbase-2001_transpose,3,1,0.771,25.777,2.986
webbase-2001_transpose,-1,3,24.671,22.937,2.657
webbase-2001_transpose,1,3,0.465,25.871,2.997
webbase-2001_transpose,3,3,1.107,24.329,2.818
webbase-2001_transpose,-1,7,26.692,22.388,2.593
webbase-2001_transpose,1,7,0.539,25.443,2.947
webbase-2001_transpose,3,7,1.305,23.995,2.779
