Graph Name, Max Ref Count, Compression Window, Graph Size, Offset Size
uk-2002,-1,1,78.25,18.81
uk-2002,1,1,110.02,20.81
uk-2002,3,1,93.09,19.74
uk-2002,-1,3,69.27,18.2
uk-2002,1,3,94.87,20.04
uk-2002,3,3,83.02,19.21
uk-2002,-1,7,65.94,18.01
uk-2002,1,7,90.89,20.01
uk-2002,3,7,80.78,19.27
uk-2002_transpose,-1,1,61.82,17.96
uk-2002_transpose,1,1,75.59,19.09
uk-2002_transpose,3,1,67.54,18.41
uk-2002_transpose,-1,3,57.68,17.66
uk-2002_transpose,1,3,67.76,18.87
uk-2002_transpose,3,3,62.39,18.28
uk-2002_transpose,-1,7,56.01,17.54
uk-2002_transpose,1,7,65.3,18.83
uk-2002_transpose,3,7,60.52,18.29
webbase-2001,-1,1,389.42,107.17
webbase-2001,1,1,500.3,115.84
webbase-2001,3,1,440.75,111.15
webbase-2001,-1,3,357.66,104.83
webbase-2001,1,3,447.66,112.9
webbase-2001,3,3,405.48,109.24
webbase-2001,-1,7,345.12,104.04
webbase-2001,1,7,435.1,112.75
webbase-2001,3,7,398.05,109.5
webbase-2001_transpose,-1,1,342.62,107.89
webbase-2001_transpose,1,1,391.94,114.84
webbase-2001_transpose,3,1,363.03,110.78
webbase-2001_transpose,-1,3,323.04,106.3
webbase-2001_transpose,1,3,364.36,114.31
webbase-2001_transpose,3,3,342.64,110.59
webbase-2001_transpose,-1,7,315.31,105.67
webbase-2001_transpose,1,7,358.34,114.33
webbase-2001_transpose,3,7,337.93,111.04
