,,Graph Name, Max Ref Count, Compression Window, Graph Size, Offset Size
.uk,0,uk-2002,-1,1, 78.25, 18.81
.uk,1,uk-2002,1,1, 110.02, 20.81
.uk,2,uk-2002,3,1, 93.09, 19.74
.uk,3,uk-2002,-1,3, 69.27, 18.20
.uk,4,uk-2002,1,3, 94.87, 20.04
.uk,5,uk-2002,3,3, 83.02, 19.21
.uk,6,uk-2002,-1,7, 65.94, 18.01
.uk,7,uk-2002,1,7, 90.89, 20.01
.uk,8,uk-2002,3,7, 80.78, 19.27
Transpose,0,uk-2002transpose,-1,1, 61.82, 17.96
Transpose,1,uk-2002transpose,1,1, 75.59, 19.09
Transpose,2,uk-2002transpose,3,1, 67.54, 18.41
Transpose,3,uk-2002transpose,-1,3, 57.68, 17.66
Transpose,4,uk-2002transpose,1,3, 67.76, 18.87
Transpose,5,uk-2002transpose,3,3, 62.39, 18.28
Transpose,6,uk-2002transpose,-1,7, 56.01, 17.54
Transpose,7,uk-2002transpose,1,7, 65.30, 18.83
Transpose,8,uk-2002transpose,3,7, 60.52, 18.29
WebBase,0,webbase-2001,-1,1, 389.42, 107.17
WebBase,1,webbase-2001,1,1, 500.30, 115.84
WebBase,2,webbase-2001,3,1, 440.75, 111.15
WebBase,3,webbase-2001,-1,3, 357.66, 104.83
WebBase,4,webbase-2001,1,3, 447.66, 112.90
WebBase,5,webbase-2001,3,3, 405.48, 109.24
WebBase,6,webbase-2001,-1,7, 345.12, 104.04
WebBase,7,webbase-2001,1,7, 435.10, 112.75
WebBase,8,webbase-2001,3,7, 398.05, 109.50
Transpose,0,webbase-2001transpose,-1,1, 342.62, 107.89
Transpose,1,webbase-2001transpose,1,1, 391.94, 114.84
Transpose,2,webbase-2001transpose,3,1, 363.03, 110.78
Transpose,3,webbase-2001transpose,-1,3, 323.04, 106.30
Transpose,4,webbase-2001transpose,1,3, 364.36, 114.31
Transpose,5,webbase-2001transpose,3,3, 342.64, 110.59
Transpose,6,webbase-2001transpose,-1,7, 315.31, 105.67
Transpose,7,webbase-2001transpose,1,7, 358.34, 114.33
Transpose,8,webbase-2001transpose,3,7, 337.93, 111.04
